CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV,Model_Prediction
0.84054,0.0,8.14,0.0,0.538,5.599,85.7,4.4546,4,307,21.0,303.42,16.51,13.9,14.384006727548806
0.67191,0.0,8.14,0.0,0.538,5.813,90.3,4.682,4,307,21.0,376.88,14.81,16.6,16.700046867193027
0.95577,0.0,8.14,0.0,0.538,6.047,88.8,4.4534,4,307,21.0,306.38,17.28,14.8,14.961526237324572
0.77299,0.0,8.14,0.0,0.538,6.495,94.4,4.4547,4,307,21.0,387.94,12.8,18.4,17.960118826803548
1.00245,0.0,8.14,0.0,0.538,6.674,87.3,4.239,4,307,21.0,380.23,11.98,21.0,20.51874775860742
1.13081,0.0,8.14,0.0,0.538,5.713,94.1,4.233,4,307,21.0,360.17,22.6,12.7,12.8357804038394
1.35472,0.0,8.14,0.0,0.538,6.072,100.0,4.175,4,307,21.0,376.73,13.04,14.5,15.507940945525482
1.38799,0.0,8.14,0.0,0.538,5.95,82.0,3.99,4,307,21.0,232.6,27.71,13.2,13.567125427868804
1.15172,0.0,8.14,0.0,0.538,5.701,95.0,3.7872,4,307,21.0,358.77,18.35,13.1,15.27765553010066
1.61282,0.0,8.14,0.0,0.538,6.096,96.9,3.7598,4,307,21.0,248.31,20.34,13.5,13.656913935369545
0.06417,0.0,5.96,0.0,0.499,5.933,68.2,3.3603,5,279,19.2,396.9,,18.9,19.790853082208447
0.09744,0.0,,0.0,0.499,5.841,61.4,3.3779,5,279,19.2,377.56,11.41,20.0,20.59516037589298
0.08014,0.0,5.96,0.0,0.499,5.85,41.5,3.9342,5,279,19.2,396.9,8.77,21.0,21.474613221086987
0.17505,0.0,5.96,0.0,0.499,5.966,30.2,3.8473,5,279,19.2,393.43,10.13,24.7,24.042947285543537
0.02763,75.0,2.95,0.0,0.428,6.595,21.8,5.4011,3,252,18.3,395.63,4.32,30.8,27.6026267306062
0.03359,75.0,2.95,0.0,0.428,7.024,15.8,5.4011,3,252,18.3,395.62,1.98,34.9,34.684595560288344
0.12744,0.0,6.91,0.0,0.448,6.77,2.9,5.7209,3,233,17.9,385.41,4.84,26.6,27.16266195398273
0.1415,0.0,6.91,0.0,0.448,6.169,6.6,5.7209,3,233,17.9,383.37,5.81,25.3,24.753326056459372
0.15936,0.0,6.91,,0.448,6.211,6.5,5.7209,3,233,17.9,394.46,7.44,24.7,24.409245825052068
0.12269,0.0,6.91,0.0,0.448,6.069,40.0,5.7209,3,233,17.9,389.39,9.55,21.2,21.289037649753023
0.17142,0.0,6.91,0.0,0.448,5.682,33.8,5.1004,3,233,17.9,396.9,10.21,19.3,19.82511744332592
0.18836,0.0,6.91,0.0,0.448,5.786,33.3,5.1004,3,233,17.9,396.9,14.15,20.0,21.822904936471176
0.22927,0.0,,0.0,0.448,6.03,85.5,5.6894,3,233,17.9,392.74,18.8,16.6,17.39502217837524
0.25387,0.0,6.91,0.0,0.448,5.399,95.3,5.87,3,233,17.9,396.9,30.81,14.4,14.554191498471653
0.21977,0.0,6.91,0.0,0.448,5.602,62.0,6.0877,3,233,17.9,396.9,16.2,19.4,18.97810181090787
0.08873,21.0,5.64,0.0,0.439,5.963,45.7,6.8147,4,243,16.8,395.56,13.45,19.7,20.00794122692521
0.04337,21.0,,0.0,0.439,6.115,63.0,6.8147,4,243,16.8,393.97,9.43,20.5,21.159723786040928
0.0536,21.0,5.64,0.0,0.439,6.511,21.1,6.8147,4,243,16.8,396.9,5.28,25.0,25.13869236283502
,21.0,5.64,0.0,0.439,5.998,21.4,6.8147,4,243,16.8,396.9,8.43,23.4,22.90936620838526
0.0136,75.0,4.0,0.0,0.41,5.888,47.6,7.3197,3,469,21.1,396.9,14.8,18.9,18.645935808077834
0.01311,90.0,1.22,0.0,0.403,7.249,21.9,8.6966,5,226,17.9,395.93,4.81,35.4,36.19457674039595
0.02055,85.0,0.74,0.0,0.41,6.383,35.7,9.1876,2,313,17.3,396.9,5.77,24.7,24.768882978234924
0.01432,100.0,1.32,0.0,0.411,6.816,40.5,8.3248,5,256,15.1,392.9,3.95,31.6,31.58469246487285
0.15445,25.0,5.13,0.0,0.453,6.145,29.2,7.8148,8,284,19.7,390.68,6.86,23.3,22.89053481257252
0.10328,25.0,5.13,0.0,0.453,5.927,47.2,6.932,8,284,19.7,396.9,9.22,19.6,19.867184924063125
0.14932,25.0,5.13,0.0,0.453,5.741,66.2,7.2254,8,284,19.7,395.11,13.15,18.7,18.66687445389631
0.17171,25.0,5.13,0.0,0.453,5.966,93.4,6.8185,8,284,19.7,378.08,14.44,16.0,16.408870836461745
0.11027,25.0,5.13,0.0,0.453,6.456,67.8,7.2255,8,284,19.7,396.9,6.73,22.2,22.13557808301246
0.1265,25.0,5.13,0.0,0.453,6.762,43.4,7.9809,8,284,19.7,395.58,9.5,25.0,24.191341890407895
0.01951,17.5,1.38,0.0,0.4161,7.104,59.5,9.2229,3,216,18.6,393.24,8.05,33.0,32.92563440810798
0.03584,80.0,3.37,0.0,0.398,6.29,17.8,6.6115,4,337,16.1,396.9,4.67,23.5,23.92103809020881
0.04379,80.0,3.37,0.0,0.398,5.787,31.1,6.6115,4,337,16.1,396.9,10.24,19.4,19.240499634926255
0.05789,12.5,6.07,0.0,0.409,5.878,21.4,6.498,4,345,18.9,396.21,8.1,22.0,21.324449542015643
0.13554,12.5,6.07,0.0,0.409,5.594,36.8,6.498,4,345,18.9,396.9,13.09,17.4,19.63725577845322
0.12816,12.5,6.07,0.0,0.409,5.885,33.0,6.498,4,345,18.9,396.9,8.79,20.9,21.96863274262313
0.08826,0.0,10.81,0.0,0.413,6.417,6.6,5.2873,4,305,19.2,383.73,6.72,24.2,23.921251152986727
0.15876,0.0,10.81,0.0,0.413,5.961,17.5,5.2873,4,305,19.2,376.94,9.88,21.7,22.051982994704094
0.09164,0.0,10.81,0.0,0.413,6.065,7.8,5.2873,4,305,19.2,390.91,5.52,22.8,23.86288497900356
0.19539,0.0,10.81,0.0,0.413,6.245,6.2,5.2873,4,305,19.2,377.17,,23.4,23.020362483165247
0.07896,0.0,12.83,0.0,0.437,6.273,,4.2515,5,398,18.7,394.92,6.78,24.1,23.60773411775244
0.09512,0.0,12.83,0.0,0.437,6.286,45.0,4.5026,5,398,18.7,383.23,8.94,21.4,23.49894863732112
0.10153,0.0,12.83,0.0,0.437,6.279,74.5,4.0522,5,398,18.7,373.66,11.97,20.0,21.80956705671972
0.08707,0.0,12.83,0.0,0.437,6.14,45.8,4.0905,5,398,18.7,386.96,10.27,20.8,22.07722589796026
0.05646,0.0,12.83,0.0,0.437,6.232,53.7,5.0141,5,398,18.7,386.4,12.34,21.2,21.164501463922456
0.08387,0.0,12.83,0.0,0.437,5.874,36.6,4.5026,5,398,18.7,396.06,,20.3,20.939813572736952
0.04113,25.0,4.86,0.0,0.426,6.727,33.5,5.4007,4,281,19.0,396.9,5.29,28.0,27.50001488953135
0.04462,25.0,4.86,0.0,0.426,6.619,70.4,5.4007,4,281,19.0,395.63,7.22,23.9,24.232780293045984
0.03659,25.0,4.86,0.0,0.426,6.302,32.2,5.4007,4,281,19.0,396.9,6.72,24.8,23.39269871374244
0.03551,25.0,4.86,0.0,0.426,6.167,46.7,5.4007,4,281,19.0,390.64,7.51,22.9,22.31609805864747
0.05059,0.0,4.49,0.0,0.449,6.389,48.0,4.7794,3,247,18.5,396.9,9.62,23.9,22.513487273852096
0.05735,0.0,4.49,0.0,0.449,6.63,56.1,4.4377,3,247,18.5,392.3,6.53,26.6,26.162374573970922
0.05188,0.0,4.49,0.0,0.449,6.015,45.1,4.4272,3,247,18.5,395.99,12.86,22.5,19.780241529204044
0.07151,0.0,4.49,0.0,0.449,6.121,56.8,3.7476,3,247,18.5,395.15,,22.2,22.45610531221264
0.0566,0.0,3.41,0.0,0.489,7.007,86.3,3.4217,2,270,17.8,396.9,5.5,23.6,24.617423043126024
0.05302,0.0,3.41,0.0,0.489,7.079,63.1,3.4145,2,270,17.8,396.06,5.7,28.7,28.80768207410472
0.04684,0.0,3.41,0.0,0.489,6.417,66.1,3.0923,2,270,17.8,392.18,8.81,22.6,23.523972110019454
0.03932,0.0,3.41,0.0,0.489,6.405,73.9,3.0921,2,270,17.8,393.55,8.2,22.0,22.31271024512625
0.04203,,15.04,0.0,0.464,6.442,53.6,3.6659,4,270,18.2,395.01,8.16,22.9,23.36223110686311
0.02875,28.0,15.04,0.0,0.464,6.211,28.9,3.6659,4,270,18.2,396.33,6.21,25.0,26.02887138058225
0.04294,28.0,15.04,0.0,0.464,6.249,77.3,3.615,4,270,18.2,396.9,10.59,20.6,20.505980581656782
0.12204,0.0,2.89,0.0,0.445,6.625,57.8,3.4952,2,276,18.0,357.98,6.65,28.4,27.78923954730066
0.11504,0.0,2.89,0.0,0.445,6.163,69.6,3.4952,2,276,18.0,391.83,11.34,21.4,21.88031290284251
0.12083,0.0,2.89,0.0,0.445,8.069,76.0,3.4952,2,276,18.0,396.9,4.21,38.7,39.12548632681854
0.08187,0.0,2.89,0.0,0.445,7.82,36.9,3.4952,2,276,18.0,393.53,3.57,43.8,43.73058176654961
0.0686,0.0,2.89,0.0,0.445,7.416,62.5,3.4952,2,276,18.0,396.9,6.19,33.2,32.46624836561357
0.14866,0.0,8.56,0.0,0.52,6.727,79.9,2.7778,5,384,20.9,394.76,9.42,27.5,26.38501688965513
0.11432,0.0,8.56,0.0,0.52,6.781,71.3,2.8561,5,384,20.9,395.58,7.67,26.5,24.9539643881021
0.22876,0.0,8.56,0.0,0.52,6.405,85.4,2.7147,5,384,20.9,70.8,10.63,18.6,18.343955843335074
0.21161,0.0,8.56,0.0,0.52,6.137,,2.7147,5,384,20.9,394.47,13.44,19.3,20.416488231761733
0.1396,0.0,8.56,0.0,0.52,6.167,90.0,2.421,5,384,20.9,392.69,12.33,20.1,20.67624450705223
0.13262,0.0,8.56,0.0,0.52,5.851,96.7,2.1069,5,384,20.9,394.05,16.47,19.5,19.01268578685213
0.1712,0.0,8.56,0.0,0.52,5.836,91.9,2.211,5,384,20.9,395.67,18.66,19.5,19.008585055898322
0.13117,0.0,8.56,0.0,0.52,6.127,85.2,2.1224,5,384,20.9,387.69,14.09,20.4,20.593783475449577
0.12802,0.0,8.56,0.0,0.52,6.474,97.1,2.4329,5,384,20.9,395.24,12.27,19.8,20.124726508954662
0.26363,0.0,8.56,0.0,0.52,6.229,91.2,2.5451,5,384,20.9,391.23,15.55,19.4,19.473655397705784
0.10793,0.0,8.56,0.0,0.52,6.195,54.4,2.7778,5,384,20.9,393.49,13.0,21.7,21.933460880741887
0.10084,0.0,10.01,0.0,0.547,6.715,81.6,2.6775,6,432,17.8,395.59,10.16,22.8,23.333894583908684
0.12329,0.0,10.01,0.0,0.547,5.913,92.9,2.3534,6,432,17.8,394.95,16.21,18.8,18.625508215764224
0.22212,0.0,10.01,0.0,0.547,6.092,95.4,2.548,6,432,17.8,396.9,17.09,18.7,18.48210849583488
0.14231,0.0,10.01,0.0,0.547,6.254,84.2,2.2565,6,432,17.8,388.74,10.45,18.5,19.3923025900801
,0.0,10.01,0.0,0.547,5.928,88.2,2.4631,6,432,17.8,344.91,15.76,18.3,18.39961187543058
0.13158,0.0,10.01,0.0,0.547,6.176,72.5,2.7301,6,432,17.8,393.3,,21.2,21.233976769011505
0.15098,0.0,10.01,0.0,0.547,6.021,82.6,2.7474,6,432,17.8,394.51,10.3,19.2,19.51151132546189
0.13058,,10.01,0.0,0.547,5.872,73.1,2.4775,6,432,17.8,338.63,15.37,20.4,19.521608718183575
0.14476,0.0,10.01,,0.547,5.731,65.2,2.7592,6,432,17.8,391.5,13.61,19.3,19.669044743937224
0.06899,0.0,25.65,0.0,0.581,5.87,69.7,2.2577,2,188,19.1,389.15,14.37,22.0,22.14502164240724
0.07165,0.0,25.65,0.0,0.581,6.004,84.1,2.1974,2,188,19.1,377.67,14.27,20.3,20.698700264668837
0.09299,0.0,25.65,0.0,0.581,5.961,92.9,2.0869,2,188,19.1,378.09,17.93,20.5,20.48488860698268
0.15038,0.0,,0.0,0.581,5.856,97.0,1.9444,2,188,19.1,370.31,25.41,17.3,17.241662774082236
0.09849,0.0,25.65,0.0,0.581,5.879,95.8,2.0063,2,188,19.1,379.38,17.58,18.8,19.359458362936223
0.16902,0.0,25.65,0.0,0.581,5.986,88.4,1.9929,2,188,19.1,385.02,14.81,21.4,21.068996474296696
0.38735,0.0,25.65,0.0,0.581,5.613,,1.7572,2,188,19.1,359.29,27.26,15.7,15.736719872439192
0.25915,0.0,21.89,0.0,0.624,5.693,96.0,1.7883,4,437,21.2,392.11,17.19,16.2,15.930669834028762
0.32543,0.0,21.89,0.0,0.624,6.431,98.8,1.8125,4,437,21.2,396.9,15.39,18.0,17.666319236456715
0.88125,0.0,21.89,0.0,0.624,5.637,94.7,1.9799,4,437,21.2,396.9,18.34,14.3,15.227015936040798
0.34006,0.0,21.89,0.0,0.624,6.458,98.9,2.1185,4,437,21.2,395.04,12.6,19.2,19.61043128249282
1.19294,0.0,21.89,0.0,0.624,6.326,97.7,2.271,4,437,21.2,396.9,12.26,19.6,19.019635813412197
0.59005,0.0,21.89,0.0,0.624,6.372,97.9,2.3274,4,437,21.2,385.76,11.12,23.0,19.393437473255943
0.32982,,,0.0,0.624,5.822,95.4,2.4699,4,437,21.2,388.69,15.03,18.4,17.494321730454264
0.97617,0.0,21.89,0.0,0.624,5.757,98.4,2.346,4,437,21.2,262.76,17.31,15.6,15.598333944616538
0.55778,0.0,21.89,0.0,0.624,6.335,98.2,2.1107,4,437,21.2,394.67,16.96,18.1,17.994731417995872
0.32264,0.0,21.89,0.0,0.624,5.942,93.5,1.9669,4,437,21.2,378.25,16.9,17.4,17.14732891560004
0.35233,0.0,21.89,0.0,0.624,6.454,98.4,1.8498,4,437,21.2,394.08,14.59,17.1,18.153789107163355
0.2498,0.0,21.89,0.0,0.624,5.857,,1.6686,4,437,21.2,392.04,21.32,13.3,13.967975048493056
0.54452,0.0,21.89,0.0,0.624,6.151,97.9,1.6687,4,437,21.2,396.9,18.46,17.8,17.40218906563047
0.2909,0.0,21.89,0.0,0.624,6.174,93.6,1.6119,4,437,21.2,388.08,24.16,14.0,15.531428683712758
1.62864,0.0,21.89,0.0,0.624,5.019,100.0,1.4394,4,437,21.2,396.9,34.41,14.4,13.99798343471726
3.32105,0.0,19.58,1.0,0.871,5.403,100.0,1.3216,5,403,14.7,396.9,26.82,13.4,13.991757009257176
4.0974,0.0,19.58,0.0,0.871,5.468,100.0,1.4118,5,403,14.7,396.9,26.42,15.6,15.066870674440354
2.77974,0.0,19.58,0.0,0.871,4.903,97.8,1.3459,5,403,14.7,396.9,29.29,11.8,12.017555863119643
2.37934,0.0,19.58,0.0,0.871,6.13,100.0,1.4191,5,403,14.7,172.91,27.8,13.8,14.269638097075598
2.15505,,19.58,0.0,0.871,5.628,100.0,1.5166,5,403,14.7,169.27,16.65,15.6,15.902010860788875
2.36862,0.0,,0.0,0.871,4.926,95.7,1.4608,5,403,14.7,391.71,29.53,14.6,14.68267817538376
2.33099,0.0,,0.0,0.871,5.186,93.8,1.5296,5,403,14.7,356.99,28.32,17.8,16.948564432252546
2.73397,0.0,19.58,0.0,0.871,5.597,94.9,1.5257,5,403,14.7,351.85,21.45,15.4,15.342887414383547
1.6566,0.0,19.58,0.0,0.871,6.122,,1.618,5,403,14.7,372.8,14.1,21.5,21.32111761741649
1.49632,0.0,19.58,0.0,0.871,5.404,100.0,1.5916,5,403,14.7,341.6,13.28,19.6,18.999753880248388
1.12658,0.0,19.58,,0.871,5.012,88.0,1.6102,5,403,14.7,343.28,12.12,15.3,15.601225221872363
2.14918,0.0,19.58,0.0,0.871,5.709,98.5,1.6232,5,403,14.7,261.95,15.79,19.4,16.4015251205708
1.41385,0.0,19.58,1.0,0.871,6.129,96.0,1.7494,5,403,14.7,321.02,15.12,17.0,17.328002136402276
3.53501,0.0,19.58,1.0,0.871,6.152,,1.7455,5,403,14.7,88.01,15.02,15.6,15.844967642446901
2.44668,0.0,19.58,0.0,0.871,5.272,94.0,1.7364,5,403,14.7,88.63,16.14,13.1,13.52451434001054
1.22358,,19.58,0.0,0.605,6.943,97.4,1.8773,5,403,14.7,363.43,4.59,41.3,40.6205055471334
1.34284,0.0,19.58,0.0,0.605,6.066,100.0,1.7573,5,403,14.7,353.89,6.43,24.3,24.086050302082207
1.42502,0.0,19.58,0.0,0.871,6.51,100.0,1.7659,5,403,14.7,364.31,7.39,23.3,23.70861541936131
1.27346,0.0,19.58,1.0,0.605,6.25,92.6,1.7984,5,403,14.7,338.92,5.5,27.0,27.379143678221567
1.46336,0.0,19.58,0.0,0.605,7.489,90.8,1.9709,5,403,14.7,374.43,1.73,50.0,49.94122951709349
1.83377,0.0,19.58,1.0,0.605,7.802,98.2,2.0407,5,403,14.7,389.61,1.92,50.0,49.95350168883437
1.51902,0.0,19.58,1.0,0.605,8.375,,2.162,5,403,14.7,388.45,3.32,50.0,49.6917724207703
2.24236,0.0,19.58,0.0,0.605,5.854,91.8,2.422,5,403,14.7,395.11,11.64,22.7,22.049902362674967
2.924,0.0,19.58,0.0,0.605,6.101,93.0,2.2834,5,403,14.7,240.16,9.81,25.0,24.307400524601988
2.01019,0.0,19.58,0.0,0.605,7.929,96.2,2.0459,5,403,14.7,369.3,3.7,50.0,50.357991273992134
1.80028,,19.58,0.0,0.605,5.877,79.2,2.4259,5,403,14.7,227.61,12.14,23.8,22.848287717588917
2.3004,0.0,19.58,0.0,0.605,6.319,96.1,2.1,5,403,14.7,297.09,11.1,23.8,22.995119229791364
2.44953,0.0,19.58,0.0,0.605,6.402,95.2,2.2625,5,403,14.7,330.04,11.32,22.3,22.463868580328743
1.20742,0.0,19.58,0.0,0.605,5.875,94.6,2.4259,5,403,14.7,292.29,14.43,17.4,18.478421438405434
2.3139,0.0,19.58,0.0,0.605,5.88,97.3,2.3887,5,403,14.7,348.13,12.03,19.1,19.939973587745616
0.13914,0.0,4.05,0.0,0.51,5.572,88.5,2.5961,5,296,16.6,396.9,14.69,23.1,20.568279159221568
0.09178,0.0,,0.0,0.51,6.416,,2.6463,5,296,16.6,395.5,9.04,23.6,23.772016077467402
0.08447,0.0,4.05,0.0,0.51,5.859,68.7,2.7019,5,296,16.6,393.23,9.64,22.6,22.197552442402475
0.06664,0.0,4.05,0.0,0.51,6.546,33.1,3.1323,5,296,16.6,390.96,5.33,29.4,29.193494703979447
0.07022,0.0,4.05,0.0,0.51,6.02,47.2,3.5549,5,296,16.6,393.23,10.11,23.2,22.815624597984094
0.05425,0.0,,0.0,0.51,6.315,73.4,3.3175,5,296,16.6,395.6,6.29,24.6,23.979212658497758
0.06642,0.0,4.05,0.0,0.51,6.86,74.4,2.9153,5,296,16.6,391.27,6.92,29.9,29.49121241690414
0.0578,0.0,2.46,0.0,0.488,6.98,58.4,2.829,3,193,17.8,396.9,5.04,37.2,37.38132100964801
0.06588,0.0,2.46,0.0,0.488,7.765,83.3,2.741,3,193,17.8,395.56,7.56,39.8,40.32827791499563
0.06888,0.0,2.46,0.0,0.488,6.144,62.2,2.5979,3,193,17.8,396.9,9.45,36.2,35.39622381632719
0.09103,0.0,2.46,0.0,0.488,7.155,92.2,2.7006,3,193,17.8,394.12,4.82,37.9,37.930257678220045
,0.0,2.46,0.0,0.488,6.563,95.6,2.847,3,193,17.8,396.9,5.68,32.5,31.776433576254885
0.08308,0.0,2.46,0.0,0.488,5.604,89.8,2.9879,3,193,17.8,391.0,13.98,26.4,26.368163057336425
0.06047,0.0,2.46,0.0,0.488,6.153,68.8,3.2797,3,193,17.8,387.11,13.15,29.6,29.542930400053624
0.05602,,2.46,0.0,0.488,7.831,53.6,3.1992,3,193,17.8,392.63,4.45,50.0,49.41673121005063
0.07875,45.0,3.44,0.0,0.437,6.782,41.1,3.7886,5,398,15.2,393.87,6.68,32.0,31.557183991216544
0.12579,45.0,3.44,0.0,0.437,6.556,29.1,4.5667,5,398,15.2,382.84,4.56,29.8,30.583993412334124
0.0837,45.0,3.44,0.0,0.437,7.185,38.9,4.5667,5,398,15.2,396.9,5.39,34.9,34.74165916869565
0.09068,45.0,3.44,0.0,0.437,6.951,21.5,6.4798,5,398,15.2,377.68,5.1,37.0,36.022290155091135
,45.0,3.44,0.0,0.437,6.739,30.8,6.4798,5,398,15.2,389.71,4.69,30.5,30.40000343248508
,45.0,3.44,0.0,0.437,7.178,26.3,6.4798,5,398,15.2,390.49,2.87,36.4,36.6133319653822
0.02187,60.0,2.93,0.0,0.401,6.8,,6.2196,1,265,15.6,393.37,5.03,31.1,30.403973826956044
0.01439,60.0,2.93,0.0,0.401,6.604,18.8,6.2196,1,265,15.6,376.7,4.38,29.1,29.01548022310875
0.01381,80.0,0.46,0.0,0.422,7.875,32.0,5.6484,4,255,14.4,394.23,2.97,50.0,47.27926398898725
,80.0,1.52,0.0,0.404,7.287,34.1,7.309,2,329,12.6,396.9,4.08,33.3,33.70913507526294
0.04666,80.0,1.52,0.0,0.404,7.107,36.6,7.309,2,329,12.6,354.31,8.61,30.3,30.84413843416595
0.03768,80.0,1.52,0.0,0.404,7.274,38.3,7.309,2,329,12.6,392.2,6.62,34.6,33.7975909044286
0.0315,95.0,1.47,0.0,0.403,6.975,15.3,7.6534,3,402,17.0,396.9,4.56,34.9,34.27983674490636
0.01778,95.0,1.47,0.0,0.403,7.135,13.9,7.6534,3,402,17.0,384.3,4.45,32.9,33.10923954006343
0.03445,82.5,2.03,0.0,0.415,6.162,38.4,6.27,2,348,14.7,393.77,7.43,24.1,23.697544836573243
0.02177,82.5,2.03,0.0,0.415,7.61,15.7,6.27,2,348,14.7,395.38,3.11,42.3,42.65032538819057
0.0351,95.0,2.68,0.0,0.4161,7.853,33.2,5.118,4,224,14.7,392.78,3.81,48.5,47.23275996430074
0.02009,95.0,2.68,0.0,0.4161,8.034,31.9,5.118,4,224,14.7,390.55,2.88,50.0,46.537479126980415
0.13642,,10.59,0.0,0.489,5.891,22.3,3.9454,4,277,18.6,396.9,10.87,22.6,23.538071451401763
0.22969,0.0,10.59,,0.489,6.326,52.5,4.3549,4,277,18.6,394.87,10.97,24.4,23.90986448273424
0.25199,0.0,10.59,0.0,0.489,5.783,72.7,4.3549,4,277,18.6,389.43,,22.5,21.51770762299115
0.13587,0.0,10.59,1.0,0.489,6.064,59.1,4.2392,4,277,18.6,381.32,14.66,24.4,21.588150630575864
0.43571,0.0,10.59,1.0,0.489,5.344,100.0,3.875,4,277,18.6,396.9,23.09,20.0,17.58049938389877
0.17446,,10.59,1.0,0.489,5.96,92.1,3.8771,4,277,18.6,393.25,17.27,21.7,20.44740901215676
0.37578,0.0,10.59,1.0,0.489,5.404,88.6,3.665,4,277,18.6,395.24,23.98,19.3,19.292441457452167
0.21719,0.0,10.59,1.0,0.489,5.807,53.8,3.6526,4,277,18.6,390.94,16.03,22.4,21.912553128239374
0.14052,0.0,10.59,0.0,0.489,6.375,32.3,3.9454,4,277,18.6,385.81,9.38,28.1,27.69863957670075
0.28955,0.0,10.59,0.0,0.489,5.412,9.8,3.5875,4,277,18.6,348.93,29.55,23.7,23.40317952316388
0.19802,0.0,10.59,0.0,0.489,6.182,,3.9454,4,277,18.6,393.63,9.47,25.0,24.50200129494757
0.0456,0.0,13.89,1.0,0.55,5.888,56.0,3.1121,5,276,16.4,392.8,13.51,23.3,23.02876654655978
0.07013,0.0,13.89,0.0,0.55,6.642,85.1,3.4211,5,276,16.4,392.78,9.69,28.7,27.768310822365645
0.11069,0.0,13.89,1.0,0.55,5.951,93.8,2.8893,5,276,16.4,396.9,17.92,21.5,21.627748742818593
0.11425,0.0,,1.0,0.55,6.373,92.4,3.3633,5,276,16.4,393.74,10.5,23.0,23.318589162063578
0.35809,0.0,6.2,1.0,0.507,6.951,88.5,2.8617,8,307,17.4,391.7,9.71,26.7,27.572406343116896
0.40771,0.0,6.2,1.0,0.507,6.164,91.3,3.048,8,307,17.4,395.24,21.46,21.7,21.134113282877177
0.62356,0.0,6.2,1.0,0.507,6.879,77.7,3.2721,8,307,17.4,390.39,9.93,27.5,27.88629032352699
0.6147,0.0,6.2,0.0,0.507,6.618,80.8,3.2721,8,307,17.4,396.9,7.6,30.1,28.505952139732184
0.31533,0.0,6.2,0.0,0.504,8.266,78.3,2.8944,8,307,17.4,385.05,4.14,44.8,45.393734364266166
0.52693,0.0,6.2,0.0,0.504,8.725,83.0,2.8944,8,307,17.4,382.0,4.63,50.0,49.33971587446718
